DATA,COD_MOEDA,TIPO,MOEDA,TAXA_COMPRA,TAXA_VENDA,PARIDADE_COMPRA,PARIDADE_VENDA
07/11/2022,800,A,QAR,1.3856,1.3980,3.6400,3.6720
07/11/2022,805,A,OMR,13.2122,13.2206,0.3849,0.3851
07/11/2022,810,A,YER,0.02031,0.02036,249.9800,250.4800
07/11/2022,815,A,IRR,0.0001211,0.0001212,42000.0000,42000.0000
07/11/2022,820,A,SAR,1.3539,1.3543,3.7575,3.7580
07/11/2022,825,A,KHR,0.001225,0.001231,4133.0000,4153.0000
07/11/2022,828,A,MYR,1.0732,1.0740,4.7380,4.7410
07/11/2022,830,A,RUB,0.08173,0.08446,60.2500,62.2500
07/11/2022,831,A,BYN,2.0094,2.0200,2.5191,2.5321
07/11/2022,835,A,TJS,0.4964,0.5013,10.1500,10.2500
07/11/2022,840,A,MUR,0.1132,0.1140,44.6500,44.9500
07/11/2022,845,A,NPR,0.03881,0.03882,131.0700,131.0900
07/11/2022,850,A,SCR,0.3884,0.3885,13.0996,13.0997
07/11/2022,855,A,LKR,0.01386,0.01406,362.0000,367.0000
07/11/2022,860,A,INR,0.06213,0.06216,81.8680,81.8880
07/11/2022,865,A,IDR,0.0003239,0.000324,15705.0000,15710.0000
07/11/2022,870,A,MVR,0.3283,0.3300,15.4200,15.5000
07/11/2022,875,A,PKR,0.02292,0.02303,221.0000,222.0000
07/11/2022,880,A,ILS,1.4344,1.4370,3.5411,3.5471
07/11/2022,892,A,KGS,0.06053,0.06058,83.9980,84.0523
07/11/2022,893,A,UZS,0.0004553,0.0004557,11166.0400,11176.0400
07/11/2022,905,A,BDT,0.04959,0.05004,101.7000,102.6000
07/11/2022,912,B,WST,1.7757,1.8711,0.3490,0.3677
07/11/2022,913,A,KZT,0.01094,0.01099,463.1100,465.1100
07/11/2022,915,A,MNT,0.001478,0.00151,3371.0000,3443.0000
07/11/2022,920,A,VUV,0.04137,0.04244,119.9000,123.0000
07/11/2022,930,A,KRW,0.003645,0.003647,1395.1700,1396.0300
07/11/2022,946,A,TZS,0.002177,0.002187,2327.0000,2337.0000
07/11/2022,950,A,KES,0.04179,0.04186,121.5500,121.7500
07/11/2022,955,A,UGX,0.001344,0.001348,3775.0000,3785.0000
07/11/2022,960,A,SOS,0.008895,0.009006,565.0000,572.0000
07/11/2022,975,A,PLN,1.0874,1.0880,4.6770,4.6792
07/11/2022,978,B,EUR,5.0875,5.0901,0.9999,1.0003
07/11/2022,998,A,XAU,274.4337,274.4660,1677.9700,0.01854
