Cod Moeda,Tipo,Moeda,Taxa Compra,Taxa Venda,Paridade Compra,Paridade Venda
680,B,TOP,2.1213,2.2250,0.4100,0.4300
685,A,MOP,0.6390,0.6400,8.0850,8.0970
706,A,ARS,0.03239,0.0324,159.7100,159.7200
715,A,CLP,0.005765,0.005769,896.9000,897.5000
720,A,COP,0.001035,0.001037,4991.0700,5000.5700
721,B,COU,0.3275,0.3275,0.0633,0.0633
725,A,CUP,0.2156,0.2156,24.0000,24.0000
730,A,DOP,0.09495,0.0958,54.0100,54.4900
735,A,PHP,0.08908,0.08912,58.0600,58.0800
741,A,MXN,0.2657,0.2659,19.4597,19.4702
745,A,UYU,0.1296,0.1297,39.9000,39.9300
755,B,BWP,0.3901,0.3933,0.0754,0.0760
760,A,MWK,0.005016,0.00509,1016.5500,1031.5500
766,A,ZMW,0.3168,0.3178,16.2800,16.3300
770,A,GTQ,0.6599,0.6634,7.8000,7.8400
775,A,MMK,0.002456,0.002471,2093.7000,2106.3000
778,B,PGK,1.4306,1.5083,0.2765,0.2915
779,A,HRK,0.6913,0.6918,7.4795,7.4845
780,A,LAK,0.0003051,0.0003056,16930.0000,16960.0000
785,A,ZAR,0.2924,0.2927,17.6773,17.6923
795,A,CNY,0.7136,0.7139,7.2485,7.2500
796,A,CNH,0.7162,0.7164,7.2229,7.2235
800,A,QAR,1.4093,1.4215,3.6400,3.6712
805,A,OMR,13.4350,13.4435,0.3849,0.3851
810,A,YER,0.02066,0.0207,249.9500,250.4500
815,A,IRR,0.0001232,0.0001232,42000.0000,42000.0000
820,A,SAR,1.3762,1.3765,3.7592,3.7596
825,A,KHR,0.001246,0.001252,4133.0000,4153.0000
828,A,MYR,1.0917,1.0930,4.7340,4.7390
830,A,RUB,0.08482,0.0849,60.9500,61.0000
831,A,BYN,2.0441,2.0549,2.5181,2.5311
835,A,TJS,0.5048,0.5098,10.1500,10.2500
840,A,MUR,0.1151,0.1159,44.6500,44.9500
845,A,NPR,0.03947,0.03948,131.0700,131.0900
850,A,SCR,0.3498,0.3685,14.0401,14.7904
855,A,LKR,0.01414,0.01418,365.0000,366.0000
860,A,INR,0.06364,0.06369,81.2490,81.3040
865,A,IDR,0.0003295,0.0003297,15695.0000,15700.0000
870,A,MVR,0.3338,0.3356,15.4200,15.5000
875,A,PKR,0.02331,0.02341,221.0000,222.0000
880,A,ILS,1.4628,1.4645,3.5333,3.5369
892,A,KGS,0.06155,0.0616,83.9981,84.0524
893,A,UZS,0.0004635,0.000464,11152.0400,11162.0400
905,A,BDT,0.05101,0.05106,101.3300,101.4300
912,B,WST,1.8057,1.9026,0.3490,0.3677
913,A,KZT,0.01112,0.01113,465.0000,465.3000
915,A,MNT,0.001503,0.001535,3371.0000,3443.0000
920,A,VUV,0.04206,0.04316,119.9000,123.0000
930,A,KRW,0.003768,0.003772,1371.7500,1373.0700
946,A,TZS,0.002214,0.002224,2327.0000,2337.0000
950,A,KES,0.04248,0.04255,121.6000,121.8000
955,A,UGX,0.001367,0.001371,3775.0000,3785.0000
960,A,SOS,0.009045,0.009158,565.0000,572.0000
975,A,PLN,1.1111,1.1130,4.6489,4.6564
978,B,EUR,5.2074,5.2101,1.0065,1.0069
Cod Moeda,Tipo,Moeda,Taxa Compra,Taxa Venda,Ouro Spot,Paridade
998,A,XAU,285.0579,285.0909,1713.2700,0.01815
